T,family,n,H0,H1,S0,S1,C0,C1,sbs,sbs_cost,vbs_cost,headroom_pct,n_all,sbs_cost_all,vbs_cost_all,headroom_all_pct,win_H0,win_H1,win_S0,win_S1,win_C0,win_C1
10,miplib,80,0.5319269235954364,0.5275009850183014,0.550657071513547,0.548436698747992,0.5227165168079091,0.5481826819398046,C0,0.5227165168079091,0.35613533596037017,31.86835990276449,80,0.5227165168079089,0.35613533596037017,31.868359902764464,0.14583333333333334,0.2208333333333333,0.12083333333333335,0.14583333333333331,0.2958333333333333,0.07083333333333333
10,ml4co_item_placement,100,0.49486810746389365,0.39159446535707515,0.5145681499747197,0.44826926662457,0.7342130835188277,0.7207823775369362,H1,0.39159446535707515,0.34418011767799184,12.10802293537233,100,0.39159446535707515,0.34418011767799184,12.10802293537233,0.06,0.55,0.08,0.31,0.0,0.0
10,ml4co_load_balancing,100,0.25585206815510764,0.2469151487581407,0.1663421660559829,0.2503114226280098,0.21883322347382161,0.24137863938696583,S0,0.1663421660559829,0.13891477128483445,16.488540110700303,100,0.16634216605598287,0.13891477128483445,16.48854011070029,0.11,0.18,0.38,0.08,0.21,0.04
10,pglib_uc,33,0.8831739452024632,0.8725131889415266,0.992726502159323,0.8787211850816384,0.8192683304394006,0.8200112154821393,C0,0.8192683304394006,0.8084053272365971,1.3259395974670896,56,0.8934974090089325,0.8870959964072804,0.716444450438027,0.16666666666666666,0.19696969696969696,0.10606060606060606,0.10606060606060606,0.25757575757575757,0.16666666666666666
10,ALL,313,0.4689166506109145,0.4308114231567288,0.46295070893102774,0.4560089582517296,0.52446583689584,0.5339651321357357,H1,0.4308114231567288,0.33059965358440885,23.26116815520535,336,0.4697737364525479,0.37642170110690465,19.87170165164667,0.1091586794462194,0.3104366347177849,0.18903088391906284,0.17305644302449416,0.1698615548455804,0.04845580404685836
30,miplib,80,0.4133366137021245,0.4058006652804827,0.4383670402575527,0.44291183488172886,0.406679244347347,0.440307152997235,H1,0.4058006652804827,0.24297485754991927,40.124578804724464,80,0.4058006652804827,0.24297485754991927,40.124578804724464,0.15416666666666667,0.22916666666666669,0.12916666666666665,0.17916666666666667,0.2166666666666667,0.09166666666666666
30,ml4co_item_placement,100,0.26131507394481035,0.20679226992821495,0.3631317566740957,0.28247301509645106,0.46558269389227647,0.4317198574926089,H1,0.20679226992821495,0.1744221046703045,15.653469672317685,100,0.20679226992821487,0.1744221046703045,15.65346967231765,0.21,0.53,0.07,0.19,0.0,0.0
30,ml4co_load_balancing,100,0.09500948289657536,0.09199753479841137,0.06666448936385763,0.09469259132846808,0.0936635133878031,0.11862920572092028,S0,0.06666448936385763,0.05665453850052458,15.015416691633705,100,0.06666448936385762,0.05665453850052458,15.015416691633687,0.09,0.2,0.42,0.09,0.17,0.03
30,pglib_uc,33,0.7552580592822228,0.7483870408218273,0.8019432411982025,0.8347473131132848,0.7851332756610536,0.7577749339572001,H1,0.7483870408218273,0.7007298821562314,6.367982883998367,56,0.8517280776271484,0.823644394842065,3.297259245382929,0.10101010101010102,0.19191919191919193,0.04040404040404041,0.0101010101010101,0.2828282828282829,0.3737373737373737
30,ALL,313,0.2991146988390475,0.27808244741923793,0.3339077149646652,0.32171299925165686,0.36539411620642354,0.36826214498951865,H1,0.27808244741923793,0.2098074729464284,24.55206184584458,336,0.32749942274470695,0.2638980328340241,19.42030595890899,0.1458998935037274,0.31203407880724177,0.19382321618743345,0.13631522896698617,0.13951011714589992,0.0724174653887114
60,miplib,80,0.3475780345314913,0.3372310215642614,0.36710903420701224,0.3736940500955881,0.3409891063191183,0.3800737954158847,H1,0.3372310215642614,0.19856279573636398,41.11965298586071,80,0.3372310215642613,0.19856279573636398,41.119652985860704,0.16458333333333336,0.23958333333333331,0.12708333333333335,0.18958333333333335,0.18958333333333335,0.08958333333333332
60,pglib_uc,33,0.6955611378501448,0.6847593405599973,0.7216322801274612,0.7629019320669829,0.6402619607983696,0.6972315673124015,C0,0.6402619607983696,0.572413232246181,10.597026327721416,56,0.7880115126133249,0.7480292261450708,5.073820093777396,0.09090909090909091,0.21212121212121213,0.030303030303030304,0.0,0.45454545454545453,0.21212121212121213
60,ALL,113,0.44920141868649643,0.4387215925984143,0.4706423715112142,0.48735652890139386,0.42838737355642176,0.47269509163345175,C0,0.42838737355642176,0.3077403568410009,28.163065524976496,136,0.525057155969674,0.42481367884583154,19.091917133995263,0.14306784660766964,0.23156342182890854,0.09882005899705015,0.13421828908554573,0.2669616519174041,0.12536873156342182
