sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
graphdraw-domain__partner__s0.json.gz,graphdraw-domain.mps.gz,S0,1,True,4.263256414560601e-14,4.263256414560601e-14,2.842170943040401e-14,19689.0,19689.0,0.0,0
graphdraw-domain__scip__s0.json.gz,graphdraw-domain.mps.gz,S0,0,True,0.0,0.0,0.0,19686.0,19686.0,0.0,0
h80x6320d__partner__s0.json.gz,h80x6320d.mps.gz,S0,1,True,0.0,0.0,0.0,16951.930266,16951.930266,0.0,0
h80x6320d__scip__s0.json.gz,h80x6320d.mps.gz,S0,0,True,2.0694557179012918e-13,9.103828801926284e-15,2.595257342363766e-12,6382.09905,6382.0990499999925,1.1400571437673683e-15,0
hypothyroid-k1__partner__s0.json.gz,hypothyroid-k1.mps.gz,S0,1,True,0.0,0.0,0.0,-2851.0,-2850.999999999999,3.1900901500278094e-16,0
hypothyroid-k1__scip__s0.json.gz,hypothyroid-k1.mps.gz,S0,0,True,0.0,0.0,0.0,-2851.0,-2850.999999999999,3.1900901500278094e-16,0
ic97_potential__partner__s0.json.gz,ic97_potential.mps.gz,S0,1,True,1.4210854715202004e-14,1.4210854715202004e-14,1.9539925233402755e-14,3955.0,3955.0,0.0,0
ic97_potential__scip__s0.json.gz,ic97_potential.mps.gz,S0,0,True,0.0,0.0,0.0,4001.0,4001.0,0.0,0
istanbul-no-cutoff__partner__s0.json.gz,istanbul-no-cutoff.mps.gz,S0,1,True,6.661338147750939e-16,2.220446049250313e-16,3.3160141299504174e-15,207.83035499050843,207.83035499050845,1.3675437080258088e-16,0
istanbul-no-cutoff__scip__s0.json.gz,istanbul-no-cutoff.mps.gz,S0,0,True,2.220446049250313e-16,1.1102230246251565e-16,6.85879464157324e-16,204.0817492414623,204.08174924146226,1.392662966484889e-16,0
mad__partner__s0.json.gz,mad.mps.gz,S0,1,True,1.5543122344752192e-15,1.5543122344752192e-15,1.1102230246251565e-16,0.1154000000000004,0.11540000000000011,2.914335439641036e-16,0
mad__scip__s0.json.gz,mad.mps.gz,S0,0,True,1.734723475976807e-17,0.0,1.0061396160665481e-16,0.08240000000000056,0.08240000000000025,3.0531133177191805e-16,0
markshare2__partner__s0.json.gz,markshare2.mps.gz,S0,1,True,0.0,0.0,0.0,38.0,38.0,0.0,0
markshare2__scip__s0.json.gz,markshare2.mps.gz,S0,0,True,0.0,0.0,0.0,35.0,35.0,0.0,0
mas74__partner__s0.json.gz,mas74.mps.gz,S0,1,True,0.0,0.0,0.0,11877.6943606,11877.694360599997,3.0628661562124434e-16,0
mas74__scip__s0.json.gz,mas74.mps.gz,S0,0,True,3.6064326841603775e-15,3.6064326841603775e-15,1.8496871545643685e-16,12062.558886799992,12062.558886799992,0.0,0
mas76__partner__s0.json.gz,mas76.mps.gz,S0,1,True,0.0,0.0,0.0,40005.054142,40005.054142,0.0,0
mas76__scip__s0.json.gz,mas76.mps.gz,S0,0,True,0.0,0.0,0.0,40005.054142,40005.054142,0.0,0
n3div36__partner__s0.json.gz,n3div36.mps.gz,S0,1,True,0.0,0.0,0.0,147600.0,147600.0,0.0,0
n3div36__scip__s0.json.gz,n3div36.mps.gz,S0,0,True,2.8945100284870173e-16,3.3306690738754716e-16,1.2688263138573217e-16,133200.0,133200.0,0.0,0
neos-1171737__partner__s0.json.gz,neos-1171737.mps.gz,S0,1,True,0.0,0.0,0.0,-190.0,-190.0,0.0,0
neos-1171737__scip__s0.json.gz,neos-1171737.mps.gz,S0,0,True,2.263984207078751e-16,2.220446049250313e-16,2.842170943040401e-16,-186.5,-186.5,0.0,0
neos-1445765__partner__s0.json.gz,neos-1445765.mps.gz,S0,1,True,2.4424906541753444e-15,1.454392162258955e-14,3.4861002973229915e-14,-17783.000000000004,-17783.000000000004,0.0,0
neos-1445765__scip__s0.json.gz,neos-1445765.mps.gz,S0,0,True,4.440892098500626e-16,6.661338147750939e-16,4.884981308350689e-15,-17783.0,-17783.0,0.0,0
neos-1456979__scip__s0.json.gz,neos-1456979.mps.gz,S0,0,True,5.684341886080802e-14,0.0,1.1672159930350722e-16,193.0,193.0,0.0,0
neos-2657525-crna__partner__s0.json.gz,neos-2657525-crna.mps.gz,S0,1,True,0.0,0.0,0.0,13.7326482,13.7326482,0.0,0
neos-2657525-crna__scip__s0.json.gz,neos-2657525-crna.mps.gz,S0,0,True,0.0,0.0,0.0,8.0666482,8.0666482,0.0,0
neos-2978193-inde__partner__s0.json.gz,neos-2978193-inde.mps.gz,S0,1,True,1.1102230246251565e-15,0.0,0.0,-2.388061686,-2.3880616859999986,5.578866062633981e-16,0
neos-2978193-inde__scip__s0.json.gz,neos-2978193-inde.mps.gz,S0,0,True,2.4424906541753444e-15,1.3322676295501878e-15,1.0658141036401503e-14,-2.388061686,-2.3880616859999995,1.859622020877993e-16,0
neos-3004026-krka__scip__s0.json.gz,neos-3004026-krka.mps.gz,S0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
neos-3046615-murg__partner__s0.json.gz,neos-3046615-murg.mps.gz,S0,1,True,0.0,0.0,0.0,1622.0,1622.0,0.0,0
neos-3046615-murg__scip__s0.json.gz,neos-3046615-murg.mps.gz,S0,0,True,0.0,0.0,0.0,1610.0,1610.0,0.0,0
neos-3381206-awhea__partner__s0.json.gz,neos-3381206-awhea.mps.gz,S0,1,True,0.0,0.0,0.0,453.0,453.0,0.0,0
neos-3381206-awhea__scip__s0.json.gz,neos-3381206-awhea.mps.gz,S0,0,True,2.5376526277146434e-16,1.1102230246251565e-15,0.0,453.0,453.0,0.0,0
neos-3754480-nidda__partner__s0.json.gz,neos-3754480-nidda.mps.gz,S0,1,True,0.0,0.0,2.616403071089496e-13,13763.15962314022,13763.159623139512,5.141165963008214e-14,0
neos-3754480-nidda__scip__s0.json.gz,neos-3754480-nidda.mps.gz,S0,0,True,0.0,0.0,5.417509074974518e-16,13738.572441257686,13738.572441257686,0.0,0
neos-4722843-widden__partner__s0.json.gz,neos-4722843-widden.mps.gz,S0,1,True,0.0,0.0,0.0,27807.880952380954,27807.880952380954,0.0,0
neos-4722843-widden__scip__s0.json.gz,neos-4722843-widden.mps.gz,S0,0,True,0.0,0.0,0.0,28371.880952380954,28371.880952380954,0.0,0
neos-4763324-toguru__partner__s0.json.gz,neos-4763324-toguru.mps.gz,S0,1,True,0.0,0.0,0.0,6760.734845921593,6760.734845921593,0.0,0
neos-4763324-toguru__scip__s0.json.gz,neos-4763324-toguru.mps.gz,S0,0,True,0.0,0.0,0.0,6760.734845921593,6760.734845921593,0.0,0
neos-787933__partner__s0.json.gz,neos-787933.mps.gz,S0,1,True,0.0,0.0,0.0,30.0,30.0,0.0,0
neos-787933__scip__s0.json.gz,neos-787933.mps.gz,S0,0,True,0.0,0.0,0.0,30.0,30.0,0.0,0
neos-860300__partner__s0.json.gz,neos-860300.mps.gz,S0,1,True,1.7646273283444676e-16,1.7646273283444676e-16,2.220446049250313e-16,3201.0,3201.0,0.0,0
neos-860300__scip__s0.json.gz,neos-860300.mps.gz,S0,0,True,0.0,0.0,0.0,3201.0,3201.0,0.0,0
neos-873061__partner__s0.json.gz,neos-873061.mps.gz,S0,1,True,0.0,0.0,6.938893903907228e-18,608.9898990858,608.9898992272753,2.3231142527228024e-10,0
neos-873061__scip__s0.json.gz,neos-873061.mps.gz,S0,0,True,0.0,0.0,1.3877787807814457e-17,555.8274522905,555.8274524319471,2.5448026453402603e-10,0
neos-911970__partner__s0.json.gz,neos-911970.mps.gz,S0,1,True,1.640807505141756e-14,3.96529868083594e-14,3.1086244689504383e-15,54.760000000000005,54.760000000000005,0.0,0
neos-911970__scip__s0.json.gz,neos-911970.mps.gz,S0,0,True,1.8253971967131773e-15,2.9112514867948517e-15,5.465713352000771e-16,54.76,54.76,0.0,0
neos17__partner__s0.json.gz,neos17.mps.gz,S0,1,True,0.0,1.734723475976807e-18,4.440892098500626e-16,0.15000257742257742,0.15000257742257772,3.0531133177191805e-16,0
neos17__scip__s0.json.gz,neos17.mps.gz,S0,0,True,0.0,0.0,4.440892098500626e-16,0.15000257742257742,0.15000257742257772,3.0531133177191805e-16,0
neos5__partner__s0.json.gz,neos5.mps.gz,S0,1,True,0.0,0.0,0.0,15.0,15.0,0.0,0
neos5__scip__s0.json.gz,neos5.mps.gz,S0,0,True,0.0,0.0,0.0,15.0,15.0,0.0,0
neos8__partner__s0.json.gz,neos8.mps.gz,S0,1,True,0.0,0.0,0.0,-3719.0,-3719.0,0.0,0
neos8__scip__s0.json.gz,neos8.mps.gz,S0,0,True,0.0,0.0,0.0,-3719.0,-3719.0,0.0,0
opm2-z10-s4__partner__s0.json.gz,opm2-z10-s4.mps.gz,S0,1,True,0.0,0.0,0.0,-20344.0,-20344.0,0.0,0
opm2-z10-s4__scip__s0.json.gz,opm2-z10-s4.mps.gz,S0,0,True,0.0,0.0,0.0,-20344.0,-20344.0,0.0,0
p200x1188c__partner__s0.json.gz,p200x1188c.mps.gz,S0,1,True,1.922166031213701e-13,2.220446049250313e-15,3.3574549099840954e-12,15078.0,15078.0,0.0,0
p200x1188c__scip__s0.json.gz,p200x1188c.mps.gz,S0,0,True,1.7541523789077473e-12,4.440892098500626e-16,6.543859065142931e-13,15078.000000000002,15078.0,1.2063863931196819e-16,0
piperout-27__partner__s0.json.gz,piperout-27.mps.gz,S0,1,True,6.7126304514886215e-12,6.7126304514886215e-12,4.374278717023117e-14,8124.0,8124.0,0.0,0
piperout-27__scip__s0.json.gz,piperout-27.mps.gz,S0,0,True,3.400058012914548e-16,7.105427357601002e-15,7.105427357601002e-15,8124.0,8124.0,0.0,0
pk1__partner__s0.json.gz,pk1.mps.gz,S0,1,True,0.0,0.0,0.0,11.0,11.0,0.0,0
pk1__scip__s0.json.gz,pk1.mps.gz,S0,0,True,0.0,0.0,0.0,11.0,11.0,0.0,0
radiationm40-10-02__partner__s0.json.gz,radiationm40-10-02.mps.gz,S0,1,True,0.0,0.0,0.0,589237.0,589237.0,0.0,0
radiationm40-10-02__scip__s0.json.gz,radiationm40-10-02.mps.gz,S0,0,True,0.0,0.0,0.0,232196.0,232196.0,0.0,0
rail507__partner__s0.json.gz,rail507.mps.gz,S0,1,True,0.0,0.0,0.0,177.0,177.0,0.0,0
rail507__scip__s0.json.gz,rail507.mps.gz,S0,0,True,0.0,0.0,0.0,178.0,178.0,0.0,0
roll3000__partner__s0.json.gz,roll3000.mps.gz,S0,1,True,8.082207542977783e-14,1.0014211682118912e-13,2.2737367544323206e-12,12890.0,12890.000000000004,2.8223264601176975e-16,0
roll3000__scip__s0.json.gz,roll3000.mps.gz,S0,0,True,0.0,0.0,3.552713678800501e-15,12889.999999999998,12889.999999999998,0.0,0
s100__scip__s0.json.gz,s100.mps.gz,S0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
satellites2-40__scip__s0.json.gz,satellites2-40.mps.gz,S0,0,True,0.0,0.0,2.470075193179041e-16,49.0,49.0,0.0,0
seymour1__partner__s0.json.gz,seymour1.mps.gz,S0,1,True,1.1102230246251565e-16,0.0,3.6637359812630166e-15,410.7637013945249,410.7637013945249,0.0,0
seymour1__scip__s0.json.gz,seymour1.mps.gz,S0,0,True,0.0,0.0,2.220446049250313e-16,410.7637013945249,410.7637013945249,0.0,0
seymour__partner__s0.json.gz,seymour.mps.gz,S0,1,True,0.0,0.0,0.0,428.0,428.0,0.0,0
seymour__scip__s0.json.gz,seymour.mps.gz,S0,0,True,1.9984014443252818e-15,1.9984014443252818e-15,3.9968028886505635e-15,428.0,428.0,0.0,0
sing326__scip__s0.json.gz,sing326.mps.gz,S0,0,True,1.4210854715202004e-13,0.0,2.1986633928823526e-16,12999416.56753918,12999416.567536652,1.9444022386501478e-13,0
snp-02-004-104__partner__s0.json.gz,snp-02-004-104.mps.gz,S0,1,True,3.481659405224491e-13,0.0,5.820766091346741e-11,767496951.0009387,767496951.0009174,2.764734571566226e-14,0
snp-02-004-104__scip__s0.json.gz,snp-02-004-104.mps.gz,S0,0,True,3.481659405224491e-13,0.0,5.820766091346741e-11,767496951.0009387,767496951.0009174,2.764734571566226e-14,0
sorrell3__partner__s0.json.gz,sorrell3.mps.gz,S0,1,True,0.0,0.0,0.0,-11.0,-11.0,0.0,0
sorrell3__scip__s0.json.gz,sorrell3.mps.gz,S0,0,True,0.0,0.0,0.0,-11.0,-11.0,0.0,0
sp150x300d__partner__s0.json.gz,sp150x300d.mps.gz,S0,1,True,1.3591558434278284e-15,1.1102230246251565e-16,1.7763568394002505e-15,69.0,69.0,0.0,0
sp150x300d__scip__s0.json.gz,sp150x300d.mps.gz,S0,0,True,3.552713678800501e-15,4.107825191113079e-15,1.0025625295229101e-11,69.00000000000001,69.0,2.0595441616234788e-16,0
sp98ar__partner__s0.json.gz,sp98ar.mps.gz,S0,1,True,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,564555926.72,564555926.72,0.0,0
sp98ar__scip__s0.json.gz,sp98ar.mps.gz,S0,0,True,1.1102230246251565e-16,2.220446049250313e-16,1.7763568394002506e-16,570639113.6,570639113.6,0.0,0
supportcase18__partner__s0.json.gz,supportcase18.mps.gz,S0,1,True,0.0,0.0,0.0,50.0,50.0,0.0,0
supportcase18__scip__s0.json.gz,supportcase18.mps.gz,S0,0,True,0.0,0.0,0.0,51.0,51.0,0.0,0
supportcase26__partner__s0.json.gz,supportcase26.mps.gz,S0,1,True,0.0,2.5553853640967638e-14,1.8741097010420454e-14,1819.9543459112715,1819.9543459112713,1.249337248234013e-16,0
supportcase26__scip__s0.json.gz,supportcase26.mps.gz,S0,0,True,0.0,1.6209256159527285e-14,4.529709940470639e-14,1772.9625225489851,1772.962522548985,1.2824505456344185e-16,0
supportcase42__partner__s0.json.gz,supportcase42.mps.gz,S0,1,True,0.0,0.0,0.0,8.0,8.0,0.0,0
supportcase42__scip__s0.json.gz,supportcase42.mps.gz,S0,0,True,0.0,0.0,0.0,8.0,8.0,0.0,0
swath3__partner__s0.json.gz,swath3.mps.gz,S0,1,True,4.440892098500626e-16,4.440892098500626e-16,3.907985046680551e-14,400.3908693499998,400.3908693499998,0.0,0
swath3__scip__s0.json.gz,swath3.mps.gz,S0,0,True,2.220446049250313e-16,2.220446049250313e-16,5.40463998000007e-14,400.2201969499997,400.2201969499997,0.0,0
timtab1__partner__s0.json.gz,timtab1.mps.gz,S0,1,True,5.684341886080802e-14,3.9968028886505635e-15,2.84217e-14,776666.99999979,776666.99999979,0.0,0
timtab1__scip__s0.json.gz,timtab1.mps.gz,S0,0,True,1.4210854715202004e-14,1.4210854715202004e-14,2.84217e-14,764771.9999998801,764771.9999998803,3.044445189597763e-16,0
tr12-30__partner__s0.json.gz,tr12-30.mps.gz,S0,1,True,7.275957614183426e-12,2.220446049250313e-15,2.1871393585115584e-12,130595.99999999996,130595.99999999994,1.1142695969529587e-16,0
tr12-30__scip__s0.json.gz,tr12-30.mps.gz,S0,0,True,2.9132252166164108e-12,9.323380524358184e-15,1.0959965003628568e-11,130599.0,130599.0,0.0,0
traininstance6__partner__s0.json.gz,traininstance6.mps.gz,S0,1,True,0.0,5.820766091346741e-11,1.7706724975141697e-11,33819.99999999994,33819.99999999994,0.0,0
traininstance6__scip__s0.json.gz,traininstance6.mps.gz,S0,0,True,0.0,0.0,0.0,32160.0,32160.0,0.0,0
uccase12__partner__s0.json.gz,uccase12.mps.gz,S0,1,True,8.981260180007666e-12,0.0,8.981260180007666e-12,11507.405890384904,11507.405890382826,1.8051730499794348e-13,0
uccase12__scip__s0.json.gz,uccase12.mps.gz,S0,0,True,2.4158453015843406e-12,0.0,5.684341886080802e-14,11507.4058903849,11507.405890384878,1.8968543432354953e-15,0
