sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_9920__C:HEU__s0.json.gz,item_placement_9920.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,33.22293206099999,33.22293206099999,0.0,0
item_placement_9921__A:heu_10__s0.json.gz,item_placement_9921.mps.gz,A:heu_10,0,True,1.0568815486931664e-17,7.771561172376096e-16,2.220446049250313e-16,14.158621280000023,14.158621280000025,1.254611451405562e-16,0
item_placement_9921__A:heu_cb__s0.json.gz,item_placement_9921.mps.gz,A:heu_cb,0,True,0.0,0.0,0.0,14.87561958499995,14.87561958499995,0.0,0
item_placement_9921__C:HEU__s0.json.gz,item_placement_9921.mps.gz,C:HEU,0,True,1.3877787807814457e-17,1.2212453270876722e-15,2.6666666959676566e-08,15.948959969999992,15.948959969999994,1.1137759720643723e-16,0
item_placement_9922__A:heu_10__s0.json.gz,item_placement_9922.mps.gz,A:heu_10,0,True,1.2656542480726785e-14,1.2656542480726785e-14,2.220446049250313e-16,38.14491683699999,38.14491683699999,0.0,0
item_placement_9922__A:heu_cb__s0.json.gz,item_placement_9922.mps.gz,A:heu_cb,0,True,0.0,4.440892098500626e-16,3.3306690738754696e-16,35.16851651199999,35.168516512,2.0203943931432334e-16,0
item_placement_9922__C:HEU__s0.json.gz,item_placement_9922.mps.gz,C:HEU,0,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,35.901251721999984,35.901251721999984,0.0,0
item_placement_9923__A:heu_10__s0.json.gz,item_placement_9923.mps.gz,A:heu_10,0,True,4.635998145698149e-08,4.635998145698149e-08,3.205370857628509e-09,21.222856335999936,21.222856335999936,0.0,0
item_placement_9923__A:heu_cb__s0.json.gz,item_placement_9923.mps.gz,A:heu_cb,0,True,4.440892098500626e-16,4.440892098500626e-16,0.0,13.311237505999996,13.311237505999996,0.0,0
item_placement_9923__C:HEU__s0.json.gz,item_placement_9923.mps.gz,C:HEU,0,True,0.0,2.220446049250313e-16,2.220446049250313e-16,12.043239925999957,12.043239925999957,0.0,0
item_placement_9924__A:heu_10__s0.json.gz,item_placement_9924.mps.gz,A:heu_10,0,True,0.0,0.0,1.1102230246251565e-16,16.153508696699934,16.153508696699934,0.0,0
item_placement_9924__A:heu_cb__s0.json.gz,item_placement_9924.mps.gz,A:heu_cb,0,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,13.884981808900028,13.884981808900028,0.0,0
item_placement_9924__C:HEU__s0.json.gz,item_placement_9924.mps.gz,C:HEU,0,True,0.0,0.0,2.220446049250313e-16,16.628252423599974,16.62825242359997,2.1365526504506528e-16,0
load_balancing_9910__A:heu_10__s0.json.gz,load_balancing_9910.mps.gz,A:heu_10,0,True,1.9984014443252818e-15,0.0,8.416869967477656e-15,704.0,704.0,0.0,0
load_balancing_9910__A:heu_cb__s0.json.gz,load_balancing_9910.mps.gz,A:heu_cb,0,True,1.9984014443252818e-15,0.0,8.416869967477656e-15,704.0,704.0,0.0,0
load_balancing_9910__C:HEU__s0.json.gz,load_balancing_9910.mps.gz,C:HEU,0,True,1.9984014443252818e-15,0.0,8.416869967477656e-15,704.0,704.0,0.0,0
load_balancing_9911__A:heu_10__s0.json.gz,load_balancing_9911.mps.gz,A:heu_10,0,True,3.9968028886505635e-15,3.9968028886505635e-15,1.4050511793587826e-14,719.0,719.0,0.0,0
load_balancing_9911__A:heu_cb__s0.json.gz,load_balancing_9911.mps.gz,A:heu_cb,0,True,3.9968028886505635e-15,3.9968028886505635e-15,1.4050511793587826e-14,719.0,719.0,0.0,0
load_balancing_9911__C:HEU__s0.json.gz,load_balancing_9911.mps.gz,C:HEU,0,True,3.9968028886505635e-15,3.9968028886505635e-15,1.4050511793587826e-14,719.0,719.0,0.0,0
load_balancing_9912__A:heu_10__s0.json.gz,load_balancing_9912.mps.gz,A:heu_10,0,True,7.771561172376096e-16,9.992007221626409e-16,6.965099462013971e-14,658.0,658.0,0.0,0
load_balancing_9912__A:heu_cb__s0.json.gz,load_balancing_9912.mps.gz,A:heu_cb,0,True,7.771561172376096e-16,9.992007221626409e-16,6.965099462013971e-14,658.0,658.0,0.0,0
load_balancing_9912__C:HEU__s0.json.gz,load_balancing_9912.mps.gz,C:HEU,0,True,7.771561172376096e-16,9.992007221626409e-16,6.965099462013971e-14,658.0,658.0,0.0,0
load_balancing_9913__A:heu_10__s0.json.gz,load_balancing_9913.mps.gz,A:heu_10,0,True,1.9248935778648363e-16,0.0,2.1596786213743868e-14,703.0,703.0,0.0,0
load_balancing_9913__A:heu_cb__s0.json.gz,load_balancing_9913.mps.gz,A:heu_cb,0,True,1.9248935778648363e-16,0.0,2.1596786213743868e-14,703.0,703.0,0.0,0
