scheme,T,family,policy,n,cost,sbs,sbs_cost,vbs_cost,headroom_pct,closed_gap,closed_gap_lo,closed_gap_hi,ttt_sgm,reached_target,choice_dist
pooled,10,ALL,best-fixed(train),163,0.5303862444015837,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,0.0,0.0,0.0,14.432168316831136,0.18404907975460122,"{""H0"": 0, ""H1"": 163, ""S0"": 0, ""S1"": 0, ""C0"": 0, ""C1"": 0}"
pooled,10,ALL,best-default-solver(train),163,0.5697456077658223,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,-0.31584869034701324,-0.7245327398199669,0.009425382221695972,15.026664588243495,0.15950920245398773,"{""H0"": 0, ""H1"": 0, ""S0"": 163, ""S1"": 0, ""C0"": 0, ""C1"": 0}"
pooled,10,ALL,rules,163,0.5295061763952776,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,0.007062317665956522,-0.23601960491642146,0.18702040090915822,14.86668173962502,0.1656441717791411,"{""H0"": 68, ""H1"": 0, ""S0"": 38, ""S1"": 34, ""C0"": 23, ""C1"": 0}"
pooled,10,ALL,lightgbm,163,0.5003859483922509,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,0.24074460038598675,-0.08765345193896068,0.48232862294931,14.109297758712165,0.18404907975460122,"{""H0"": 27, ""H1"": 30, ""S0"": 36, ""S1"": 17, ""C0"": 25, ""C1"": 28}"
pooled,10,ALL,mlp,163,0.5216041871511077,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,0.07047373341499648,-0.2290990801083599,0.2883784224293245,15.258180052019835,0.15337423312883436,"{""H0"": 26, ""H1"": 39, ""S0"": 56, ""S1"": 11, ""C0"": 20, ""C1"": 11}"
pooled,10,ALL,oracle,163,0.4057716280769261,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,1.0,1.0,1.0,13.031420564089899,0.2085889570552147,"{""H0"": 46, ""H1"": 36, ""S0"": 18, ""S1"": 19, ""C0"": 37, ""C1"": 7}"
pooled,10,ALL,random(expected),163,0.5550771507205111,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,-0.19813812413947027,-0.4470724531117449,-0.004533617063653528,16.656976225292894,0.09815950920245399,
pooled,10,ALL,laya-zeroshot,163,0.5770329653117322,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,-0.37432784600981467,-0.92133789182199,-0.025049547160756195,15.581794818088934,0.147239263803681,"{""H0"": 12, ""H1"": 0, ""S0"": 4, ""S1"": 75, ""C0"": 72, ""C1"": 0}"
pooled,10,ALL,mip-laya,163,0.4912772963608778,H1,0.5303862444015837,0.4057716280769261,23.495069421578958,0.3138391722750693,0.13643273314841278,0.4825631417617604,14.424029807998192,0.17791411042944785,"{""H0"": 13, ""H1"": 87, ""S0"": 30, ""S1"": 4, ""C0"": 29, ""C1"": 0}"
pooled,10,miplib,best-fixed(train),80,0.5275009850183014,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,-0.028721540969093632,-0.6788791317159094,0.33555417870060006,10.98150361869391,0.325,"{""H0"": 0, ""H1"": 80, ""S0"": 0, ""S1"": 0, ""C0"": 0, ""C1"": 0}"
pooled,10,miplib,best-default-solver(train),80,0.550657071513547,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,-0.16772935912376802,-0.845460145379215,0.1929494260617228,11.86061434038431,0.2875,"{""H0"": 0, ""H1"": 0, ""S0"": 80, ""S1"": 0, ""C0"": 0, ""C1"": 0}"
pooled,10,miplib,rules,80,0.5100355928035759,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,0.07612458946331407,-0.4889790003813462,0.4105991501153323,11.815044632886147,0.275,"{""H0"": 31, ""H1"": 0, ""S0"": 38, ""S1"": 9, ""C0"": 2, ""C1"": 0}"
pooled,10,miplib,lightgbm,80,0.48506832476909684,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,0.22600507360593788,-0.0904485435240922,0.4733051519610583,10.766275282120565,0.3125,"{""H0"": 10, ""H1"": 16, ""S0"": 15, ""S1"": 8, ""C0"": 25, ""C1"": 6}"
pooled,10,miplib,mlp,80,0.5293520160655539,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,-0.03983342670453343,-0.461364830487548,0.2839185815974724,12.900850500585525,0.2375,"{""H0"": 13, ""H1"": 14, ""S0"": 12, ""S1"": 11, ""C0"": 20, ""C1"": 10}"
pooled,10,miplib,oracle,80,0.35613533596037017,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,1.0,1.0,1.0,8.759571198190564,0.3875,"{""H0"": 20, ""H1"": 16, ""S0"": 8, ""S1"": 10, ""C0"": 22, ""C1"": 4}"
pooled,10,miplib,random(expected),80,0.5382368129371651,C0,0.5227165168079089,0.35613533596037017,31.868359902764464,-0.0931695648349435,-0.5249131603665612,0.15884563321550177,14.292216365819117,0.1875,
